year,location,exp_num,fish_num,length,depth
2013,Kingcome,NA,1,145,28
2013,Kingcome,NA,2,130,26
2013,Kingcome,NA,3,110,23
2013,Kingcome,NA,4,125,27
2013,Kingcome,NA,5,105,20
2013,Kingcome,NA,6,110,22
2013,Kingcome,NA,7,130,23
2013,Kingcome,NA,8,105,22
2013,Kingcome,NA,9,120,24
2013,Kingcome,NA,10,125,25
2013,Kingcome,NA,11,105,21
2013,Kingcome,NA,12,115,22
2013,Kingcome,NA,13,110,20
2013,Kingcome,NA,14,110,22
2013,Kingcome,NA,15,110,20
2013,Kingcome,NA,16,115,23
2013,Kingcome,NA,17,105,21
2013,Kingcome,NA,18,110,24
2013,Kingcome,NA,19,110,21
2013,Kingcome,NA,20,120,21
2013,Kingcome,NA,21,105,22
2013,Kingcome,NA,22,110,21
2013,Kingcome,NA,23,120,24
2013,Kingcome,NA,24,120,22
2013,Kingcome,NA,25,105,18
2013,Kingcome,NA,26,125,21
2013,Kingcome,NA,27,120,24
2013,Kingcome,NA,28,135,26
2013,Kingcome,NA,29,155,28
2013,Kingcome,NA,30,115,22
2013,Kingcome,NA,31,115,22
2013,Kingcome,NA,32,150,27
2013,Kingcome,NA,33,105,19
2013,Kingcome,NA,34,120,22
2013,Kingcome,NA,35,135,25
2013,Kingcome,NA,36,110,22
2013,Kingcome,NA,37,100,19
2013,Kingcome,NA,38,145,28
2013,Kingcome,NA,39,130,23
2013,Kingcome,NA,40,115,22
2013,Kingcome,NA,41,125,23
2013,Kingcome,NA,42,125,22
2013,Kingcome,NA,43,120,23
2013,Kingcome,NA,44,150,28
2013,Kingcome,NA,45,115,21
2013,Kingcome,NA,46,125,22
2013,Kingcome,NA,47,105,20
2013,Kingcome,NA,48,120,21
2013,Kingcome,NA,49,130,26
2013,Kingcome,NA,50,115,22
2013,Kingcome,NA,51,130,23
2013,Kingcome,NA,52,95,17
2013,Kingcome,NA,53,100,20
2013,Kingcome,NA,54,120,23
2013,Kingcome,NA,55,120,21
2013,Kingcome,NA,56,130,26
2013,Kingcome,NA,57,105,20
2013,Kingcome,NA,58,115,23
2013,Kingcome,NA,59,130,23
2013,Kingcome,NA,60,125,24
2013,Kingcome,NA,61,145,27
2013,Kingcome,NA,62,105,23
2013,Kingcome,NA,63,110,21
2013,Kingcome,NA,64,115,21
2013,Kingcome,NA,65,130,24
2013,Kingcome,NA,66,125,23
2013,Kingcome,NA,67,100,19
2013,Kingcome,NA,68,95,18
2013,Kingcome,6B,69,80,16
2013,Kingcome,6B,70,85,18
2013,Kingcome,6B,71,125,25
2013,Kingcome,6B,72,110,24
2013,Kingcome,6B,73,110,23
2013,Kingcome,6B,74,120,24
2013,Kingcome,6B,75,105,21
2013,Kingcome,6B,76,115,23
2013,Kingcome,6B,77,135,27
2013,Kingcome,6B,78,110,23
2013,Kingcome,6B,79,95,20
2013,Kingcome,6B,80,130,23
2013,Kingcome,6B,81,120,25
2013,Kingcome,6B,82,130,23
2013,Kingcome,6B,83,95,20
2013,Kingcome,6B,84,135,27
2013,Kingcome,6B,85,115,23
2013,Kingcome,6B,86,100,20
2013,Kingcome,6B,87,105,20
2013,Kingcome,6B,88,85,20
2013,Kingcome,6A,89,120,23
2013,Kingcome,6A,90,130,24
2013,Kingcome,6A,91,120,21
2013,Kingcome,6A,92,110,22
2013,Kingcome,6A,93,90,17
2013,Kingcome,6A,94,120,23
2013,Kingcome,6A,95,135,27
2013,Kingcome,6A,96,125,24
2013,Kingcome,6A,97,85,15
2013,Kingcome,6A,98,90,19
2013,Kingcome,6A,99,105,23
2013,Kingcome,6A,100,130,25
2013,Kingcome,6A,101,100,21
2013,Kingcome,6A,102,85,20
2013,Kingcome,6A,103,100,21
2013,Kingcome,6A,104,110,23
2013,Kingcome,6A,105,85,15
2013,Kingcome,6A,106,110,19
2013,Kingcome,6A,107,105,20
2013,Kingcome,6A,108,115,21
2013,Bond,10B,109,110,20
2013,Bond,10B,110,110,23
2013,Bond,10B,111,125,23
2013,Bond,10B,112,105,20
2013,Bond,10B,113,125,23
2013,Bond,10B,114,115,22
2013,Bond,10B,115,120,23
2013,Bond,10B,116,125,23
2013,Bond,10B,117,120,22
2013,Bond,10B,118,120,25
2013,Bond,10B,119,125,24
2013,Bond,10B,120,140,25
2013,Bond,10B,121,125,24
2013,Bond,10B,122,115,21
2013,Bond,10B,123,120,22
2013,Bond,10B,124,130,24
2013,Bond,10B,125,125,24
2013,Bond,10B,126,120,22
2013,Bond,10B,127,120,23
2013,Bond,10B,128,130,26
2013,Bond,10A,129,135,24
2013,Bond,10A,130,105,18
2013,Bond,10A,131,100,22
2013,Bond,10A,132,85,18
2013,Bond,10A,133,115,21
2013,Bond,10A,134,110,22
2013,Bond,10A,135,135,28
2013,Bond,10A,136,125,24
2013,Bond,10A,137,115,21
2013,Bond,10A,138,110,20
2013,Bond,10A,139,130,25
2013,Bond,10A,140,120,25
2013,Bond,10A,141,125,25
2013,Bond,10A,142,115,24
2013,Bond,10A,143,135,29
2013,Bond,10A,144,110,23
2013,Bond,10A,145,135,27
2013,Bond,10A,146,110,22
2013,Bond,10A,147,110,20
2013,Bond,10A,148,115,21
2013,Bond,NA,149,100,16
2013,Bond,NA,150,120,18
2013,Bond,NA,151,120,21
2013,Bond,NA,152,135,23
2013,Bond,NA,153,95,17
2013,Bond,11A,154,100,22
2013,Bond,11A,155,135,28
2013,Bond,11A,156,105,23
2013,Bond,11A,157,90,19
2013,Bond,11A,158,125,25
2013,Bond,11A,159,130,28
2013,Bond,11A,160,130,26
2013,Bond,11A,161,105,23
2013,Bond,11A,162,110,23
2013,Bond,11A,163,135,27
2013,Bond,11A,164,125,24
2013,Bond,11A,165,140,25
2013,Bond,11A,166,120,23
2013,Bond,11A,167,115,23
2013,Bond,11A,168,110,22
2013,Bond,11A,169,110,22
2013,Bond,11A,170,115,24
2013,Bond,11A,171,100,22
2013,Bond,11A,172,110,21
2013,Bond,11A,173,115,19
2013,Bond,12B,174,140,24
2013,Bond,12B,175,115,23
2013,Bond,12B,176,125,21
2013,Bond,12B,177,130,25
2013,Bond,12B,178,130,24
2013,Bond,12B,179,105,22
2013,Bond,12B,180,120,22
2013,Bond,12B,181,125,24
2013,Bond,12B,182,140,26
2013,Bond,12B,183,125,24
2013,Bond,12B,184,115,23
2013,Bond,12B,185,125,25
2013,Bond,12B,186,110,22
2013,Bond,12B,187,115,22
2013,Bond,12B,188,125,24
2013,Bond,12B,189,110,23
2013,Bond,12B,190,115,22
2013,Bond,12B,191,120,21
2013,Bond,12B,192,130,25
2013,Bond,12B,193,105,20
2013,Bond,12A,194,115,21
2013,Bond,12A,195,115,21
2013,Bond,12A,196,105,20
2013,Bond,12A,197,125,25
2013,Bond,12A,198,130,23
2013,Bond,12A,199,115,21
2013,Bond,12A,200,110,23
2013,Bond,12A,201,130,26
2013,Bond,12A,202,130,24
2013,Bond,12A,203,130,25
2013,Bond,12A,204,130,24
2013,Bond,12A,205,135,27
2013,Bond,12A,206,115,20
2013,Bond,12A,207,110,22
2013,Bond,12A,208,130,24
2013,Bond,12A,209,120,23
2013,Bond,12A,210,115,21
2013,Bond,12A,211,135,25
2013,Bond,12A,212,115,20
2013,Bond,12A,213,130,25
2013,Bond,13A,214,110,23
2013,Bond,13A,215,135,27
2013,Bond,13A,216,130,21
2013,Bond,13A,217,120,25
2013,Bond,13A,218,115,25
2013,Bond,13A,219,130,27
2013,Bond,13A,220,110,19
2013,Bond,13A,221,125,26
2013,Bond,13A,222,135,25
2013,Bond,13A,223,140,28
2013,Bond,13A,224,110,26
2013,Bond,13A,225,125,25
2013,Bond,13A,226,140,26
2013,Bond,13A,227,110,22
2013,Bond,13A,228,125,25
2013,Bond,13A,229,115,21
2013,Bond,13A,230,135,27
2013,Bond,13A,231,115,23
2013,Bond,13A,232,125,23
2013,Bond,13A,233,115,24
2014,Kingcome,NA,1,95,20
2014,Kingcome,NA,2,140,27
2014,Kingcome,NA,3,115,23
2014,Kingcome,NA,4,120,25
2014,Kingcome,NA,5,125,26
2014,Kingcome,NA,6,135,28
2014,Kingcome,NA,7,130,25
2014,Kingcome,NA,8,115,26
2014,Kingcome,NA,9,130,28
2014,Kingcome,NA,10,110,23
2014,Kingcome,NA,11,145,30
2014,Kingcome,NA,12,130,25
2014,Kingcome,NA,13,125,25
2014,Kingcome,NA,14,150,30
2014,Kingcome,NA,15,115,22
2014,Kingcome,NA,16,125,26
2014,Kingcome,NA,17,120,26
2014,Kingcome,NA,18,100,20
2014,Kingcome,NA,19,125,26
2014,Kingcome,NA,20,105,23
2014,Kingcome,NA,21,110,25
2014,Kingcome,NA,22,135,24
2014,Kingcome,NA,23,125,25
2014,Kingcome,NA,24,125,27
2014,Kingcome,NA,25,125,25
2014,Kingcome,NA,26,145,29
2014,Kingcome,NA,27,100,20
2014,Kingcome,NA,28,120,24
2014,Kingcome,NA,29,135,27
2014,Kingcome,NA,30,125,23
2014,Kingcome,NA,31,120,27
2014,Kingcome,NA,32,120,25
2014,Kingcome,NA,33,115,23
2014,Kingcome,NA,34,115,23
2014,Kingcome,NA,35,130,27
2014,Kingcome,NA,36,110,21
2014,Kingcome,NA,37,115,22
2014,Kingcome,NA,38,120,23
2014,Kingcome,NA,39,135,28
2014,Kingcome,NA,40,115,24
2014,Kingcome,NA,41,145,28
2014,Kingcome,NA,42,100,20
2014,Kingcome,NA,43,135,27
2014,Kingcome,NA,44,130,29
2014,Kingcome,NA,45,110,22
2014,Kingcome,NA,46,125,25
2014,Kingcome,NA,47,135,27
2014,Kingcome,NA,48,140,27
2014,Kingcome,NA,49,125,25
2014,Kingcome,NA,50,115,24
2014,Kingcome,NA,51,95,20
2014,Kingcome,NA,52,115,25
2014,Kingcome,NA,53,105,15
2014,Kingcome,NA,54,115,20
2014,Kingcome,NA,55,115,25
2014,Kingcome,NA,56,125,25
2014,Kingcome,NA,57,145,30
2014,Kingcome,NA,58,105,20
2014,Kingcome,NA,59,125,25
