date,start_time,expt_num,net_pen,treatment,obs_num,elapsed_time,time_between,obs,by,on,comment
24-Apr,7:30,1,A,Lice,1,,,S,,,
24-Apr,7:30,1,A,Lice,2,,,S,,G,
24-Apr,7:30,1,A,Lice,3,2:00,,S,,,
24-Apr,7:30,1,A,Lice,4,3:00,,C,,,
24-Apr,7:30,1,A,Lice,5,5:00,,S,,G,
24-Apr,7:30,1,A,Lice,6,,,C,S,,
24-Apr,7:30,1,A,Lice,7,,,C,M,,
24-Apr,7:30,1,A,Lice,8,,,AT,,,
24-Apr,7:30,1,A,Lice,9,,,S,,,
24-Apr,7:30,1,A,Lice,10,,,S,,,
24-Apr,7:30,1,A,Lice,11,,,S,,,
24-Apr,7:30,1,A,Lice,12,10:00,,C,M,,
24-Apr,7:30,1,A,Lice,13,,,S,G,,
24-Apr,7:30,1,A,Lice,14,,,C,S,,
24-Apr,7:30,1,A,Lice,15,,,S,,,
24-Apr,7:30,1,A,Lice,16,,,C,S,,
24-Apr,7:30,1,A,Lice,17,,,AT,S/S,,
24-Apr,7:30,1,A,Lice,18,,,AT,S/S,,
24-Apr,7:30,1,A,Lice,19,14:00,,AT,S/S,,
24-Apr,7:30,1,A,Lice,20,17:00,,S,M,,
24-Apr,7:30,1,A,Lice,21,,,S,,G,
24-Apr,7:30,1,A,Lice,22,,,C,M,,
24-Apr,7:30,1,A,Lice,23,,,S,S,G,
24-Apr,7:30,1,A,Lice,24,,,S,,,
24-Apr,7:30,1,A,Lice,25,,,S,,,
24-Apr,7:30,1,A,Lice,26,23:00,,C,S,,
24-Apr,7:30,1,A,Lice,27,,,S,M,,
24-Apr,7:30,1,A,Lice,28,,,S,S,,
24-Apr,7:30,1,A,Lice,29,0:26:00,,S,,,
24-Apr,7:30,1,A,Lice,30,,,S,S,,
24-Apr,7:30,1,A,Lice,31,,,C,S,,
24-Apr,7:30,1,A,Lice,32,,,L,S,,
24-Apr,7:30,1,A,Lice,33,,,C,S,,
24-Apr,7:30,1,A,Lice,34,,,S,S,,
24-Apr,7:30,1,A,Lice,35,,,S,,,
24-Apr,7:30,1,A,Lice,36,,,S,,,
24-Apr,7:30,1,A,Lice,37,,,S,M,,
24-Apr,7:30,1,A,Lice,38,,,S,L,,
24-Apr,7:30,1,A,Lice,39,,,S,S,,
24-Apr,7:30,1,A,Lice,40,,,S,G,G,
24-Apr,7:30,1,A,Lice,41,0:40:00,,S,S,,
24-Apr,7:30,1,A,Lice,42,0:43:00,,S,S,G,
24-Apr,7:30,1,A,Lice,43,,,S,S,,
24-Apr,7:30,1,A,Lice,44,0:44:00,,S,S,,
24-Apr,7:30,1,A,Lice,45,,,S,L,,
24-Apr,7:30,1,A,Lice,46,,,S,G,G,
24-Apr,7:30,1,A,Lice,47,,,C,S,,
24-Apr,7:30,1,A,Lice,48,,,T,M/S,,
24-Apr,7:30,1,A,Lice,49,0:51:00,,S,S,,
24-Apr,7:30,1,A,Lice,50,0:52:00,,S,S,,
24-Apr,7:30,1,A,Lice,51,0:53:00,,S,S,,
24-Apr,7:30,1,A,Lice,52,,,S,M,G,
24-Apr,8:40,1,B,NoLice,1,00:36.4,00:36.4,A,M,G,
24-Apr,8:40,1,B,NoLice,2,00:58.2,00:21.9,S,M,G,
24-Apr,8:40,1,B,NoLice,3,02:31.1,01:32.9,S,S,G,
24-Apr,8:40,1,B,NoLice,4,03:55.1,01:23.9,S,M,G,
24-Apr,8:40,1,B,NoLice,5,07:05.4,03:10.4,S,M,G,
24-Apr,8:40,1,B,NoLice,6,09:38.3,02:32.8,S,G,G,
24-Apr,8:40,1,B,NoLice,7,13:19.6,03:41.3,A,S,G,
24-Apr,8:40,1,B,NoLice,8,14:03.4,00:43.9,A,M,G,
24-Apr,8:40,1,B,NoLice,9,14:06.6,00:03.2,S,G,G,
24-Apr,8:40,1,B,NoLice,10,16:11.7,02:05.1,S,G,G,
24-Apr,8:40,1,B,NoLice,11,16:23.6,00:11.8,S,S,G,
24-Apr,8:40,1,B,NoLice,12,16:25.7,00:02.1,C,S,G,
24-Apr,8:40,1,B,NoLice,13,16:37.5,00:11.8,AT,M/S,,
24-Apr,8:40,1,B,NoLice,14,16:57.3,00:19.8,AT,M/S,,
24-Apr,8:40,1,B,NoLice,16,20:08.0,03:10.4,A,S,I,
24-Apr,8:40,1,B,NoLice,17,23:05.8,02:57.8,S,G,G,
24-Apr,8:40,1,B,NoLice,18,23:23.8,00:18.1,S,M,I,
24-Apr,8:40,1,B,NoLice,19,28:09.2,04:45.3,S,M,I,
24-Apr,8:40,1,B,NoLice,20,28:24.4,00:15.2,C,S,G,
24-Apr,8:40,1,B,NoLice,21,31:13.7,02:49.3,S,M,G,
24-Apr,8:40,1,B,NoLice,22,37:23.9,06:10.3,S,M,G,
24-Apr,8:40,1,B,NoLice,23,37:34.1,00:10.2,S,G,G,
26-Apr,18:30,2,A,Lice,1,00:44.7,00:44.7,S,G,G,
26-Apr,18:30,2,A,Lice,2,00:59.6,00:14.9,C,M,I,
26-Apr,18:30,2,A,Lice,3,01:11.9,00:12.4,AT,,,
26-Apr,18:30,2,A,Lice,4,01:23.1,00:11.2,P,,,
26-Apr,18:30,2,A,Lice,5,01:39.0,00:15.9,T,L,,by L coho
26-Apr,18:30,2,A,Lice,6,01:59.0,00:20.0,S,L,I,
26-Apr,18:30,2,A,Lice,7,02:20.6,00:21.6,C,M,I,
26-Apr,18:30,2,A,Lice,8,02:32.2,00:11.6,S,G,G,
26-Apr,18:30,2,A,Lice,9,02:47.2,00:15.0,C,M,I,
26-Apr,18:30,2,A,Lice,10,03:06.1,00:18.9,S,G,I,
26-Apr,18:30,2,A,Lice,11,03:23.6,00:17.5,S,G,G,
26-Apr,18:30,2,A,Lice,12,03:38.8,00:15.1,C,S,I,
26-Apr,18:30,2,A,Lice,13,03:51.5,00:12.8,AT,,,
26-Apr,18:30,2,A,Lice,14,03:56.7,00:05.2,C,M,G,
26-Apr,18:30,2,A,Lice,15,04:08.0,00:11.2,C,M,I,
26-Apr,18:30,2,A,Lice,16,04:45.1,00:37.1,C,M,I,
26-Apr,18:30,2,A,Lice,17,05:04.4,00:19.3,L,M,I,
26-Apr,18:30,2,A,Lice,18,05:27.4,00:23.0,S,M,I,
26-Apr,18:30,2,A,Lice,19,05:37.6,00:10.2,C,M,I,
26-Apr,18:30,2,A,Lice,20,05:45.1,00:07.5,C,S,I,
26-Apr,18:30,2,A,Lice,21,05:54.4,00:09.2,AT,M/S,,
26-Apr,18:30,2,A,Lice,22,06:03.2,00:08.9,S,G,G,
26-Apr,18:30,2,A,Lice,23,06:19.5,00:16.3,C,M,I,
26-Apr,18:30,2,A,Lice,24,06:39.9,00:20.4,AT,M/M,,
26-Apr,18:30,2,A,Lice,25,06:52.5,00:12.6,C,S,I,
26-Apr,18:30,2,A,Lice,26,06:56.1,00:03.6,L,S,I,
26-Apr,18:30,2,A,Lice,27,07:04.5,00:08.4,T,M/S,,
26-Apr,18:30,2,A,Lice,28,07:09.3,00:04.8,C,S,G,
26-Apr,18:30,2,A,Lice,29,07:13.5,00:04.2,C,M,G,
26-Apr,18:30,2,A,Lice,30,07:14.2,00:00.7,C,M,G,
26-Apr,18:30,2,A,Lice,31,07:46.5,00:32.3,C,S,I,
26-Apr,18:30,2,A,Lice,32,07:55.7,00:09.3,AT,M/S,I,
26-Apr,18:30,2,A,Lice,33,08:05.4,00:09.6,C,S,I,
26-Apr,18:30,2,A,Lice,34,08:13.8,00:08.4,C,S,I,
26-Apr,18:30,2,A,Lice,35,08:35.0,00:21.1,AT,M/S,,
26-Apr,18:30,2,A,Lice,36,08:54.4,00:19.5,C,S,G,
26-Apr,18:30,2,A,Lice,37,09:07.3,00:12.9,AT,M/S,,
26-Apr,18:30,2,A,Lice,38,09:15.0,00:07.7,S,G,G,
26-Apr,18:30,2,A,Lice,39,09:20.6,00:05.6,C,L,I,
26-Apr,18:30,2,A,Lice,40,10:18.1,00:57.5,S,S,I,
26-Apr,18:30,2,A,Lice,41,10:31.1,00:13.0,L,S,I,
26-Apr,18:30,2,A,Lice,42,10:36.5,00:05.4,T,L/S,,
26-Apr,18:30,2,A,Lice,43,11:05.1,00:28.6,C,M,I,
26-Apr,18:30,2,A,Lice,44,12:36.5,01:31.4,,,,
26-Apr,18:30,2,A,Lice,45,13:21.0,00:44.5,S,S,G,
26-Apr,18:30,2,A,Lice,46,14:07.6,00:46.6,S,S,I,
26-Apr,18:30,2,A,Lice,47,14:17.5,00:10.0,C,M,I,
26-Apr,18:30,2,A,Lice,48,14:29.4,00:11.8,C,S,I,
26-Apr,18:30,2,A,Lice,49,14:39.0,00:09.6,S,M,G,
26-Apr,18:30,2,A,Lice,50,15:04.2,00:25.2,C,S,I,
26-Apr,18:30,2,A,Lice,51,15:10.9,00:06.7,AT,M/S,,
26-Apr,18:30,2,A,Lice,52,15:35.8,00:24.8,T,L/S,,
26-Apr,18:30,2,A,Lice,53,16:29.3,00:53.5,S,G,G,
26-Apr,18:30,2,A,Lice,54,18:35.9,02:06.6,S,S,G,
26-Apr,18:30,2,A,Lice,55,18:53.8,00:17.9,S,S,I,
26-Apr,18:30,2,A,Lice,56,19:48.3,00:54.5,S,S,G,
26-Apr,18:30,2,A,Lice,57,20:36.9,00:48.5,S,G,G,
26-Apr,18:30,2,A,Lice,58,21:04.0,00:27.1,C,S,G,
26-Apr,18:30,2,A,Lice,59,21:08.3,00:04.3,L,S,I,
26-Apr,18:30,2,A,Lice,60,22:06.3,00:58.0,S,S,I,
26-Apr,18:30,2,A,Lice,61,22:16.8,00:10.5,S,S,I,
26-Apr,18:30,2,A,Lice,62,22:21.2,00:04.4,C,S,I,
26-Apr,18:30,2,A,Lice,63,22:25.5,00:04.4,L,S,I,
26-Apr,18:30,2,A,Lice,64,23:02.9,00:37.4,C,S,I,
26-Apr,18:30,2,A,Lice,65,23:09.1,00:06.2,S,M,G,
26-Apr,18:30,2,A,Lice,66,23:12.2,00:03.2,L,S,I,
26-Apr,18:30,2,A,Lice,67,24:39.5,01:27.2,S,S,G,
26-Apr,18:30,2,A,Lice,68,25:36.5,00:57.1,S,S,G,
26-Apr,18:30,2,A,Lice,69,25:51.9,00:15.4,,,,
26-Apr,18:30,2,A,Lice,70,26:24.0,00:32.1,S,S,G,
26-Apr,18:30,2,A,Lice,71,28:16.8,01:52.8,S,S,G,
26-Apr,18:30,2,A,Lice,72,28:42.4,00:25.5,S,G,I,
26-Apr,18:30,2,A,Lice,73,28:58.3,00:16.0,S,M,I,
26-Apr,18:30,2,A,Lice,74,29:08.4,00:10.0,C,S,I,
26-Apr,18:30,2,A,Lice,75,29:15.2,00:06.8,L,S,I,
26-Apr,18:30,2,A,Lice,76,32:17.1,03:01.9,S,S,G,
26-Apr,18:30,2,A,Lice,77,32:38.6,00:21.5,C,M,I,
26-Apr,18:30,2,A,Lice,78,32:53.3,00:14.7,,,,
26-Apr,18:30,2,A,Lice,79,33:29.5,00:36.2,C,S,G,
26-Apr,18:30,2,A,Lice,80,34:59.5,01:30.1,S,S,G,
26-Apr,18:30,2,A,Lice,81,37:50.2,02:50.6,S,M,I,
26-Apr,18:30,2,A,Lice,82,38:50.3,01:00.2,S,M,I,
26-Apr,18:30,2,A,Lice,83,42:56.3,04:05.9,S,S,G,
26-Apr,18:30,2,A,Lice,84,44:16.2,01:20.0,S,S,I,
26-Apr,18:30,2,A,Lice,85,47:39.4,03:23.2,C,S,I,
26-Apr,18:30,2,A,Lice,86,47:41.6,00:02.2,L,S,I,
26-Apr,18:30,2,A,Lice,87,47:45.7,00:04.1,C,M,I,
26-Apr,18:30,2,A,Lice,88,50:15.8,02:30.1,S,S,I,
26-Apr,18:30,2,A,Lice,89,53:19.9,03:04.1,C,S,G,
26-Apr,18:30,2,A,Lice,90,53:21.6,00:01.6,L,S,I,
26-Apr,18:30,2,A,Lice,91,58:06.6,04:45.0,S,S,I,
26-Apr,19:30,2,B,NoLice,1,00:35.8,00:35.8,C,S,I,"Getting dark, poor vis at depth made it hard to see steals"
26-Apr,19:30,2,B,NoLice,2,01:40.4,01:04.6,C,S,G,
26-Apr,19:30,2,B,NoLice,3,02:01.5,00:21.1,C,M,I,
26-Apr,19:30,2,B,NoLice,4,02:09.2,00:07.8,S,M,G,
26-Apr,19:30,2,B,NoLice,5,02:28.7,00:19.5,AT,,,
26-Apr,19:30,2,B,NoLice,6,02:41.5,00:12.7,AT,,,
26-Apr,19:30,2,B,NoLice,7,03:09.2,00:27.7,S,S,G,
26-Apr,19:30,2,B,NoLice,8,03:33.1,00:23.9,S,S,I,
26-Apr,19:30,2,B,NoLice,9,04:06.0,00:32.9,C,M,I,
26-Apr,19:30,2,B,NoLice,10,04:36.8,00:30.8,S,S,G,
26-Apr,19:30,2,B,NoLice,11,04:47.7,00:11.0,C,S,G,
26-Apr,19:30,2,B,NoLice,12,05:28.5,00:40.8,S,S,G,
26-Apr,19:30,2,B,NoLice,13,06:00.2,00:31.7,S,S,I,
26-Apr,19:30,2,B,NoLice,14,06:07.1,00:06.9,C,S,I,
26-Apr,19:30,2,B,NoLice,15,06:46.1,00:39.0,C,M,I,
26-Apr,19:30,2,B,NoLice,16,07:04.7,00:18.6,C,S,I,
