exp,trial,net_pen,treatment,n.coho,time,pink0,chum0,pink.consumed,chum.consumed
14,26,B,no_lice,20,24,50,50,17,6
14,27,A,lice,10,4,20,20,5,3
15,28,B,no_lice,20,16,34,34,29,13
15,29,A,lice,20,16,34,34,26,10
16,30,B,no_lice,20,20,43,43,29,26
16,31,A,lice,20,20,43,43,36,17
17,32,A,no_lice,20,6,24,24,18,15
17,33,B,lice,20,6,24,24,19,10
18,34,A,no_lice,10,6,21,21,15,7
18,35,B,lice,10,6,21,21,14,11
19,36,B,no_lice,0,24,40,40,3,-1
19,37,A,lice,0,24,40,40,2,1
20,38,B,no_lice,15,6,30,30,19,11
20,39,A,lice,15,6,30,30,17,4
21,40,A,no_lice,20,8,35,35,10,5
21,41,B,lice,20,8,35,35,11,5
22,42,A,no_lice,0,24,33,33,1,-1
22,43,B,lice,0,24,33,33,1,0
23,44,B,no_lice,20,8,32,32,19,17
23,45,A,lice,20,8,32,32,24,18
24,46,B,no_lice,20,8,42,42,24,9
24,47,A,lice,20,8,42,42,24,14
25,48,A,no_lice,20,8,40,40,18,12
25,49,B,lice,20,8,40,40,16,18
26,50,B,no_lice,10,24,33,33,12,16
26,51,A,lice,10,24,33,33,14,17
27,52,B,no_lice,10,16,30,30,10,5
27,53,A,lice,10,16,30,30,13,7
