expt_num,num_ groups,groups_compared,date,start_time,obs_num,elapsed_time,time_between,obs,by,on,ref_num,comment
1,1,3,28-May,12:27,1,,,C,,I,,
1,1,3,28-May,12:27,2,,,S,I,G,,
1,1,3,28-May,12:27,3,,,S,,G,,
1,1,3,28-May,12:27,4,,,C,,,,
1,1,3,28-May,12:27,5,,,AT,,,,
1,1,3,28-May,12:27,6,,,C,,,,
1,1,3,28-May,12:27,7,,,AT,,,,
1,1,3,28-May,12:27,8,,,CON,,,4,
1,1,3,28-May,12:27,9,,,CON,,,1,
1,1,3,28-May,12:27,10,,,CON,,,6,
1,1,3,28-May,12:27,11,,,C,,,,
1,1,3,28-May,12:27,11,,,C,,,,
1,1,3,28-May,12:27,12,,,CON,,,11,
1,1,3,28-May,12:27,13,,,S,I,G,,
1,1,3,28-May,12:27,14,,,CON,,,11,
1,1,3,28-May,12:27,15,,,S,,,,
1,1,3,28-May,12:27,16,,,C,,,,
1,1,3,28-May,12:27,16,,,C,,,,
1,1,3,28-May,12:27,17,,,C,,,,
1,1,3,28-May,12:27,18,,,CON,,,,
1,1,3,28-May,12:27,19,,,L,,,,
1,1,3,28-May,12:27,20,,,T,,,17,
1,1,3,28-May,12:27,21,,,S,,G,,
1,1,3,28-May,12:27,22,,,CON,,,16,
1,1,3,28-May,12:27,23,,,CON,,,20,
1,1,3,28-May,12:27,24,,,C,I,I,,
1,1,3,28-May,12:27,25,,,AT,,,24,
1,1,3,28-May,12:27,26,,,C,I,I,,
1,1,3,28-May,12:27,28,,,S,I,G,,
1,1,3,28-May,12:27,29,,,S,I,G,,
1,1,3,28-May,12:27,30,,,C,I,G,,
1,1,3,28-May,12:27,31,,,CON,,,26,
1,1,3,28-May,12:27,32,,,CON,,,30,
1,1,3,28-May,12:27,33,,,CON,,,24,
1,1,3,28-May,12:27,34,,,C,G,G,,
1,1,3,28-May,12:27,35,,,S,I,G,,
1,1,3,28-May,12:27,36,23:46.9,04:42.3,S,I,G,,
1,1,3,28-May,12:27,37,27:20.6,03:33.6,S,G,G,,
1,1,3,28-May,12:27,38,27:44.5,00:23.9,C,,,,resulted from 37 strike 
1,1,3,28-May,12:27,39,27:54.1,00:09.6,AT,,,38,
1,1,3,28-May,12:27,40,28:05.3,00:11.2,S,I,I,,
1,1,3,28-May,12:27,41,28:13.3,00:08.0,CON,,,38,
1,1,3,28-May,12:27,42,29:59.8,01:46.5,S,I,I,,
2,2,24,29-May,9:28,1,00:28.8,00:28.8,S,S,I,,
2,2,24,29-May,9:28,2,00:33.9,00:05.1,S,S,I,,
2,2,24,29-May,9:28,3,00:50.6,00:16.7,S,G,S,,
2,2,24,29-May,9:28,4,00:52.8,00:02.2,C,L,S,,
2,2,24,29-May,9:28,5,01:44.3,00:36.0,CON,L,,4,
2,2,24,29-May,9:28,6,02:05.5,00:21.3,S,G,S,,
2,2,24,29-May,9:28,7,02:09.3,00:03.8,C,L,S,,
2,2,24,29-May,9:28,8,02:15.4,00:06.1,AT,S,L,,
2,2,24,29-May,9:28,9,02:27.5,00:12.1,CON,L,,7,
2,2,24,29-May,9:28,10,05:45.6,03:18.1,S,G,S,,
2,2,24,29-May,9:28,11,05:52.7,00:07.1,S,L,S,,
2,2,24,29-May,9:28,12,05:54.6,00:01.8,S,S,S,,
2,2,24,29-May,9:28,13,09:18.8,03:24.2,S,S,S,,
2,2,24,29-May,9:28,14,09:24.6,00:05.8,S,L,S,,
2,2,24,29-May,9:28,15,09:31.9,00:07.3,S,S,S,,
2,2,24,29-May,9:28,16,10:26.3,00:54.4,S,L,S,,
2,2,24,29-May,9:28,17,10:41.7,00:15.4,S,L,I,,
2,2,24,29-May,9:28,18,10:56.3,00:14.6,C,S,I,,
